,구분,호선,,화장실,엘리베이터,리프트,안전발판,안전거리,충전,이전역,다음역,lon,lan,안전하차
1-소요산,소요산,1,"	1916",1,0,0,1 ,8.0 ,0,,동두천,127.061034 ,37.9481000 ,"1-4, 4-4, 7-1, 10-1"
1-동두천,동두천,1,1915,1,0,0,1 ,9.5 ,0,소요산,보산,127.054790 ,37.9278780 ,"1-4, 4-4, 7-1, 10-1"
1-보산,보산,1,1914,1,0,0,0 ,8.9 ,0,동두천,동두천중앙,127.057277 ,37.9137020 ,"1-4, 4-4, 7-1, 10-1"
1-동두천중앙,동두천중앙,1,1913,1,0,0,1 ,9.7 ,3,보산,지행,127.056482 ,37.9018850 ,"1-4, 4-4, 7-1, 10-1"
1-지행,지행,1,1912,1,0,0,1 ,10.1 ,0,동두천중앙,덕정,127.055716 ,37.8923340 ,"1-4, 4-4, 7-1, 10-1"
1-덕계,덕계,1,1910,1,0,0,1 ,8.9 ,0,덕정,양주,127.056486 ,37.8184860 ,"1-4, 4-4, 7-1, 10-1"
1-양주,양주,1,1909,1,0,0,1 ,10.4 ,0,덕계,녹양,127.044708 ,37.7743810 ,"1-4, 4-4, 7-1, 10-1"
1-녹양,녹양,1,1908,1,0,0,0 ,10.7 ,0,양주,가능,127.042292 ,37.7593800 ,"1-4, 4-4, 7-1, 10-1"
1-신창,신창,1,1408,1,0,0,0 ,7.3 ,0,,,126.951108,36.769502,"1-4, 4-4, 7-1, 10-1"
1-배방,배방,1,1405,1,0,0,0 ,8.8 ,0,,,127.052991 ,36.7776290 ,"1-4, 4-4, 7-1, 10-1"
1-탕정,탕정,1,-,1,0,0,0 ,-,0,,,-,-,"1-4, 4-4, 7-1, 10-1"
1-아산,아산,1,1403,1,0,0,1 ,11.5 ,0,,,127.104361 ,36.7920530 ,"1-4, 4-4, 7-1, 10-1"
1-쌍용,쌍용,1,1402,1,0,0,0 ,9.8 ,2,,,127.1214,36.793759,"1-4, 4-4, 7-1, 10-1"
1-봉명,봉명,1,1401,1,0,0,0 ,9.8 ,2,,,127.135763 ,36.8012150 ,"1-4, 4-4, 7-1, 10-1"
1-서동탄,서동탄,1,1749,1,0,0,1 ,7.3 ,1,,,127.051672 ,37.1955040 ,"1-4, 4-4, 7-1, 10-1"
1-당정,당정,1,1729,1,0,0,1 ,9.6 ,0,,,126.948345 ,37.3442850 ,"1-4, 4-4, 7-1, 10-1"
1-도화,도화,1,1823,1,0,0,0 ,10.2 ,0,,,126.668672 ,37.4660700 ,"1-4, 4-4, 7-1, 10-1"
1-광명,광명,1,1750,1,0,0,0 ,-,0,,,126.884466 ,37.4161820 ,"1-4, 4-4, 7-1, 10-1"
1-서울역,서울역,1,150,1,1,1,1 ,10.8 ,0,,,126.972559,37.554648,"1-4, 4-4, 7-1, 10-1"
