,구분,호선,,화장실,엘리베이터,리프트,안전발판,안전거리,충전,이전역 (왼쪽),다음역 (오른쪽),lon,lat,안전하차
1-소요산,소요산,1,1916,1,1,0,1,8,0,-,1-동두천,127.061,37.9481,1-4 | 4-4 | 7-1 | 10-1
1-동두천,동두천,1,1915,1,1,0,1,9.5,0,1-소요산,1-보산,127.0548,37.92788,1-4 | 4-4 | 7-1 | 10-1
1-보산,보산,1,1914,1,1,0,0,8.9,0,1-동두천,1-동두천중앙,127.0573,37.9137,1-4 | 4-4 | 7-1 | 10-1
1-동두천중앙,동두천중앙,1,1913,1,1,0,1,9.7,3,1-보산,1-지행,127.0565,37.90189,1-4 | 4-4 | 7-1 | 10-1
1-지행,지행,1,1912,1,1,0,1,10.1,0,1-동두천중앙,1-덕정,127.0557,37.89233,1-4 | 4-4 | 7-1 | 10-1
1-덕계,덕계,1,1910,1,1,0,1,8.9,0,1-덕정,1-양주,127.0565,37.81849,1-4 | 4-4 | 7-1 | 10-1
1-양주,양주,1,1909,1,1,0,1,10.4,0,1-덕계,1-녹양,127.0447,37.77438,1-4 | 4-4 | 7-1 | 10-1
1-녹양,녹양,1,1908,1,1,0,0,10.7,0,1-양주,1-가능,127.0423,37.75938,1-4 | 4-4 | 7-1 | 10-1
1-신창,신창,1,1408,1,1,0,0,7.3,0,1-온양온천,-,126.9511,36.7695,1-4 | 4-4 | 7-1 | 10-1
1-배방,배방,1,1405,1,1,0,0,8.8,0,1-탕정,1-온양온천,127.053,36.77763,1-4 | 4-4 | 7-1 | 10-1
1-탕정,탕정,1,-,1,1,0,0,-,0,1-아산,1-배방,-,-,1-4 | 4-4 | 7-1 | 10-1
1-아산,아산,1,1403,1,1,0,1,11.5,0,1-쌍용,1-탕정,127.1044,36.79205,1-4 | 4-4 | 7-1 | 10-1
1-쌍용,쌍용,1,1402,1,1,0,0,9.8,2,1-봉명,1-아산,127.1214,36.79376,1-4 | 4-4 | 7-1 | 10-1
1-봉명,봉명,1,1401,1,1,0,0,9.8,2,1-천안,1-쌍용,127.1358,36.80122,1-4 | 4-4 | 7-1 | 10-1
1-서동탄,서동탄,1,1749,1,1,0,1,7.3,1,1-병점,-,127.0517,37.1955,1-4 | 4-4 | 7-1 | 10-1
1-당정,당정,1,1729,1,1,0,1,9.6,0,1-군포,1-의왕,126.9483,37.34429,1-4 | 4-4 | 7-1 | 10-1
1-도화,도화,1,1823,1,1,0,0,10.2,0,1-주안,1-제물포,126.6687,37.46607,1-4 | 4-4 | 7-1 | 10-1
1-광명,광명,1,1750,1,1,0,0,-,0,1-금천구청,-,126.8845,37.41618,1-4 | 4-4 | 7-1 | 10-1
1-서울역,서울역,1,150,1,1,1,1,10.8,0,1-시청,1-남영,126.9726,37.55465,1-4 | 4-4 | 7-1 | 10-1
1-시청,시청,1,151,1,1,0,1,9.2,0,1-종각,1-서울역,126.9771,37.56472,1-4 | 4-4 | 7-1 | 10-1
1-종각,종각,1,152,1,1,0,1,8.9,1,1-종로 3가,1-시청,126.9829,37.57016,1-4 | 4-4 | 7-1 | 10-1
1-종로3가,종로3가,1,153,1,1,1,1,9.4,1,1-종로 5가,1-종각,126.9918,37.57161,1-4 | 4-4 | 7-1 | 10-1
1-종로5가,종로5가,1,154,1,1,0,1,9.4,0,1-동대문,1-종로 3가,127.0018,37.57093,1-4 | 4-4 | 7-1 | 10-1
1-신설동,신설동,1,156,1,1,1,1,12.3,0,1-제기동,1-동묘앞,127.0251,37.5753,1-4 | 4-4 | 7-1 | 10-1
1-제기동,제기동,1,157,1,1,0,1,10.5,1,1-청량리,1-신설동,127.0349,37.5781,1-4 | 4-4 | 7-1 | 10-1
1-청량리,청량리,1,158,0,1,1,1,8.6,0,1-회기,1-제기동,127.0254,37.34511,1-4 | 4-4 | 7-1 | 10-1
1-동묘앞,동묘앞,1,159,1,1,0,1,6.8,1,1-동대문,1-동묘앞,127.0164,37.57263,1-4 | 4-4 | 7-1 | 10-1
1-창동,창동,1,412,1,1,1,1,11.1,1,1-방학,1-녹천,127.0477,37.65317,1-4 | 4-4 | 7-1 | 10-1
1-동대문,동대문,1,421,1,1,1,1,12.7,1,1-동묘앞,1-종로 5가,127.0097,37.57142,1-4 | 4-4 | 7-1 | 10-1
1-남영,남영,1,1002,1,0,1,0,7.3,0,1-서울역,1-용산,126.9713,37.54102,1-4 | 4-4 | 7-1 | 10-1
1-용산,용산,1,1003,1,1,0,1,6.8,0,1-남영,1-노량진,126.9646,37.52985,1-4 | 4-4 | 7-1 | 10-1
1-대방,대방,1,1005,1,1,0,1,17.9,0,1-노량진,1-신길,126.9264,37.51334,1-4 | 4-4 | 7-1 | 10-1
1-영등포,영등포,1,1006,1,1,0,1,13.5,0,1-신길,1-신도림,126.9076,37.5155,1-4 | 4-4 | 7-1 | 10-1
1-신도림,신도림,1,1007,1,1,0,1,15.8,1,1-영등포,1-구로,126.8913,37.50873,1-4 | 4-4 | 7-1 | 10-1
1-회기,회기,1,1015,1,1,0,1,11,0,1-외대앞,1-청량리,127.0576,37.58946,1-4 | 4-4 | 7-1 | 10-1
1-외대앞,외대앞,1,1016,1,0,0,1,14.8,0,1-신이문,1-회기,127.0635,37.59607,1-4 | 4-4 | 7-1 | 10-1
1-신이문,신이문,1,1017,0,1,0,1,17,0,1-석계,1-외대앞,127.0673,37.60185,1-4 | 4-4 | 7-1 | 10-1
1-광운대,광운대,1,1019,1,1,0,1,13.7,0,1-월계,1-석계,127.0618,37.62363,1-4 | 4-4 | 7-1 | 10-1
1-월계,월계,1,1020,1,1,0,1,14.5,0,1-녹천,1-광운대,127.0588,37.63321,1-4 | 4-4 | 7-1 | 10-1
1-녹천,녹천,1,1021,1,1,0,0,13.5,0,1-창동,1-월계,127.0513,37.6448,1-4 | 4-4 | 7-1 | 10-1
1-금정,금정,1,1458,1,1,0,1,8,1,1-명학,1-군포,126.9434,37.37222,1-4 | 4-4 | 7-1 | 10-1
1-구로,구로,1,1701,1,1,0,1,8.7,0,1-신도림,1-가산디지털단지,126.882,37.50304,1-4 | 4-4 | 7-1 | 10-1
1-금천구청,금천구청,1,1703,1,1,0,1,10.4,0,1-독산,1-석수,126.894,37.45563,1-4 | 4-4 | 7-1 | 10-1
1-석수,석수,1,1704,1,1,0,1,12,0,1-금천구청,1-관악,126.9023,37.43505,1-4 | 4-4 | 7-1 | 10-1
1-관악,관악,1,1705,1,1,0,1,9.6,0,1-석수,1-안양,126.9087,37.41923,1-4 | 4-4 | 7-1 | 10-1
1-안양,안양,1,1706,1,1,0,1,8.1,0,1-관악,1-명학,126.9229,37.40159,1-4 | 4-4 | 7-1 | 10-1
1-명학,명학,1,1707,1,1,0,1,12.7,0,1-안양,1-금정,126.9354,37.38465,1-4 | 4-4 | 7-1 | 10-1
1-군포,군포,1,1709,1,1,0,1,11.8,1,1-금정,1-당정,126.9485,37.35356,1-4 | 4-4 | 7-1 | 10-1
1-의왕,의왕,1,1710,1,1,0,1,9.8,0,1-당정,1-성균관대,126.9482,37.32085,1-4 | 4-4 | 7-1 | 10-1
1-성균관대,성균관대,1,1711,1,1,0,1,10.5,0,1-의왕,1-화서,126.9708,37.30035,1-4 | 4-4 | 7-1 | 10-1
1-화서,화서,1,1712,1,1,0,1,9.2,0,1-성균관대,1-수원,126.9896,37.28386,1-4 | 4-4 | 7-1 | 10-1
1-수원,수원,1,1713,1,1,0,1,7,0,1-화서,1-세류,126.9999,37.26597,1-4 | 4-4 | 7-1 | 10-1
1-독산,독산,1,1714,1,1,0,1,7.4,0,1-가산디지털단지,1-금천구청,126.8892,37.46661,1-4 | 4-4 | 7-1 | 10-1
1-세류,세류,1,1715,1,1,0,0,12.4,0,1-수원,1-병점,127.0132,37.24503,1-4 | 4-4 | 7-1 | 10-1
1-병점,병점,1,1716,0,1,0,1,10.2,1,1-세류,1-세마,127.0327,37.2075,1-4 | 4-4 | 7-1 | 10-1
1-세마,세마,1,1717,1,1,0,1,11.2,2,1-병점,1-오산대,127.0432,37.18753,1-4 | 4-4 | 7-1 | 10-1
1-오산대,오산대,1,1718,1,1,0,1,9.2,2,1-세마,1-오산,127.0632,37.16895,1-4 | 4-4 | 7-1 | 10-1
1-오산,오산,1,1719,1,1,0,1,13.3,0,1-오산대,1-진위,127.0667,37.14589,1-4 | 4-4 | 7-1 | 10-1
1-진위,진위,1,1720,1,1,0,1,13.8,0,1-오산,1-송탄,127.0623,37.10945,1-4 | 4-4 | 7-1 | 10-1
1-송탄,송탄,1,1721,1,1,0,1,14.7,0,1-진위,1-서정리,127.0543,37.0757,1-4 | 4-4 | 7-1 | 10-1
1-서정리,서정리,1,1722,1,1,0,1,13.7,0,1-송탄,1-지제,127.0528,37.0565,1-4 | 4-4 | 7-1 | 10-1
1-지제,평택지제,1,1723,0,1,0,1,13.7,0,1-서정리,1-평택,127.0704,37.0188,1-4 | 4-4 | 7-1 | 10-1
1-평택,평택,1,1724,1,1,0,1,15.3,0,1-지제,1-성환,127.0852,36.99073,1-4 | 4-4 | 7-1 | 10-1
1-성환,성환,1,1725,1,1,0,0,10.2,0,1-평택,1-직산,127.127,36.91608,1-4 | 4-4 | 7-1 | 10-1
1-직산,직산,1,1726,1,1,0,1,9.9,1,1-성환,1-두정,127.1439,36.87059,1-4 | 4-4 | 7-1 | 10-1
1-두정,두정,1,1727,1,1,0,0,10.9,2,1-직산,1-천안,127.149,36.83371,1-4 | 4-4 | 7-1 | 10-1
1-천안,천안,1,1728,1,1,0,1,11,2,1-두정,1-봉명,127.1468,36.81001,1-4 | 4-4 | 7-1 | 10-1
1-개봉,개봉,1,1801,1,1,0,1,8.5,0,1-구일(동양미래대학),1-오류동,126.8587,37.49459,1-4 | 4-4 | 7-1 | 10-1
1-오류동,오류동,1,1802,1,1,0,1,9.3,0,1-개봉,1-온수,126.8454,37.49453,1-4 | 4-4 | 7-1 | 10-1
1-역곡,역곡,1,1803,1,1,0,1,8.7,0,1-온수,1-소사,126.8115,37.48518,1-4 | 4-4 | 7-1 | 10-1
1-부천,부천,1,1804,1,1,0,1,9.6,0,1-소사,1-중동,126.7827,37.48405,1-4 | 4-4 | 7-1 | 10-1
1-송내,송내,1,1805,1,1,0,1,10.3,0,1-중동,1-부개,126.7537,37.4876,1-4 | 4-4 | 7-1 | 10-1
1-부평,부평,1,1806,1,1,0,1,7.4,0,1-부개,1-백운,126.7248,37.48949,1-4 | 4-4 | 7-1 | 10-1
